row_ID,study_ID,title,year,journal,volume,issue,pages,authors,taxo_group,species_name,population,study_environment,age,personality_trait,study_type,male_n,female_n,male_mean,male_SE,female_mean,female_SE,error_type,m_SE_to_SD,f_SE_to_SD,directionality,comp,depend,data_type,data_location,score,proportion,flip_sign,data_quality
275,P037,Behavioral responses to physical vs. social novelty in male and female laboratory rats,2011,Behavioural Processes,88,1,56-59,"Cavigelli, S.A.; Michael, K.C.; West, S.G.; Klein, L.C.",mammal,Rattus norvegicus,lab,lab,adult,activity,experimental,30,30,77,35,224,40,SD,35,40,,160,80,locomotion (n),in-text,,,,
276,P037,Behavioral responses to physical vs. social novelty in male and female laboratory rats,2011,Behavioural Processes,88,1,56-59,"Cavigelli, S.A.; Michael, K.C.; West, S.G.; Klein, L.C.",mammal,Rattus norvegicus,lab,lab,adult,boldness,experimental,30,30,28,25,15,13,SD,25,13,1,161,79,approach latency,in-text,,,,
277,P037,Behavioral responses to physical vs. social novelty in male and female laboratory rats,2011,Behavioural Processes,88,1,56-59,"Cavigelli, S.A.; Michael, K.C.; West, S.G.; Klein, L.C.",mammal,Rattus norvegicus,lab,lab,adult,boldness,experimental,30,30,20,7,25,6,SD,7,6,1,162,79,approach novelty,in-text,,,,
278,P037,Behavioral responses to physical vs. social novelty in male and female laboratory rats,2011,Behavioural Processes,88,1,56-59,"Cavigelli, S.A.; Michael, K.C.; West, S.G.; Klein, L.C.",mammal,Rattus norvegicus,lab,lab,adult,boldness,experimental,30,30,87,21,80,29,SD,21,29,,163,79,contact (s),in-text,,,,
279,P037,Behavioral responses to physical vs. social novelty in male and female laboratory rats,2011,Behavioural Processes,88,1,56-59,"Cavigelli, S.A.; Michael, K.C.; West, S.G.; Klein, L.C.",mammal,Rattus norvegicus,lab,lab,adult,boldness,experimental,30,30,45,10,35,9,SD,10,9,1,164,79,% time in centre,in-text,,,,
280,P038,Multilevel selection and effects of keystone hyperaggressive males on mating success and behavior in stream water striders,2013,Behavioral Ecology,24,5,1166-1176,"Chang, A.T.; Sih, A.",invertebrate,Aquarius remigis,field,lab,adult,activity,experimental,10,10,0.052,0.004,0.091,0.007,SE,0.013,0.022,,165,80,prop. Time,Figure,,1,,
281,P038,Multilevel selection and effects of keystone hyperaggressive males on mating success and behavior in stream water striders,2013,Behavioral Ecology,24,5,1166-1176,"Chang, A.T.; Sih, A.",invertebrate,Aquarius remigis,field,lab,adult,activity,experimental,10,10,0.29,0.019,0.058,0.008,SE,0.06,0.025,,166,80,prop. Time,Figure,,1,,
282,P038,Multilevel selection and effects of keystone hyperaggressive males on mating success and behavior in stream water striders,2013,Behavioral Ecology,24,5,1166-1176,"Chang, A.T.; Sih, A.",invertebrate,Aquarius remigis,field,lab,adult,boldness,experimental,10,10,0.705,0.018,0.892,0.018,SE,0.057,0.057,,167,80,prop. Time,Figure,,1,,
283,P038,Multilevel selection and effects of keystone hyperaggressive males on mating success and behavior in stream water striders,2013,Behavioral Ecology,24,5,1166-1176,"Chang, A.T.; Sih, A.",invertebrate,Aquarius remigis,field,lab,adult,boldness,experimental,10,10,0.132,0.014,0.286,0.015,SE,0.044,0.047,,168,80,prop. Time,Figure,,1,,
284,P038,Multilevel selection and effects of keystone hyperaggressive males on mating success and behavior in stream water striders,2013,Behavioral Ecology,24,5,1166-1176,"Chang, A.T.; Sih, A.",invertebrate,Aquarius remigis,field,lab,adult,boldness,experimental,10,10,0.281,0.021,0.419,0.022,SE,0.066,0.07,,169,80,prop. Time,Figure,,1,,
285,P039,Sex and the Syndrome: Individual and Population Consistency in Behaviour in Rock Pool Prawn Palaemon elegans,2013,PLoS ONE,8,3,e59437,"Chapman, B.B.; Hegg, A.; Ljungberg, P.",invertebrate,Palaemon elegans,field,lab,adult,activity,experimental,46,34,59.615,3.462,43.269,3.462,SE,23.48,20.187,,170,81,freq. zone changes,Figure,,,,
286,P039,Sex and the Syndrome: Individual and Population Consistency in Behaviour in Rock Pool Prawn Palaemon elegans,2013,PLoS ONE,8,3,e59437,"Chapman, B.B.; Hegg, A.; Ljungberg, P.",invertebrate,Palaemon elegans,field,lab,adult,boldness,experimental,46,34,23.261,8.913,50.435,16.522,SE,60.451,96.339,1,171,82,time to return feed,Figure,,,,
287,P040,Personality differentially affects individual mate choice decisions in female and male Western mosquitofish (Gambusia affinis),2018,PLoS ONE,13,5,,"Chen, B.-J.; Liu. K.; Zhou, L.-J.; Gomes-Silva, G.; Sommer-Trembo, C.; Plath, M.",fish,Gambusia affinis,field,lab,adult,boldness,experimental,42,40,57.31,10.577,37.595,6.767,SE,68.547,42.798,1,172,83,time to emergence,Supplementary,,,,
288,P040,Personality differentially affects individual mate choice decisions in female and male Western mosquitofish (Gambusia affinis),2018,PLoS ONE,13,5,,"Chen, B.-J.; Liu. K.; Zhou, L.-J.; Gomes-Silva, G.; Sommer-Trembo, C.; Plath, M.",fish,Gambusia affinis,field,lab,adult,activity,experimental,42,40,152.786,7.558,164.071,12.148,SE,48.981,76.831,,174,84,no. squares crossed,Supplementary,,,,
289,P040,Personality differentially affects individual mate choice decisions in female and male Western mosquitofish (Gambusia affinis),2018,PLoS ONE,13,5,,"Chen, B.-J.; Liu. K.; Zhou, L.-J.; Gomes-Silva, G.; Sommer-Trembo, C.; Plath, M.",fish,Gambusia affinis,field,lab,adult,sociality,experimental,42,40,228.643,10.891,252.095,9.511,SE,70.582,60.153,,177,85,time in shoal,Supplementary,,,,
290,P040,Personality differentially affects individual mate choice decisions in female and male Western mosquitofish (Gambusia affinis),2018,PLoS ONE,13,5,,"Chen, B.-J.; Liu. K.; Zhou, L.-J.; Gomes-Silva, G.; Sommer-Trembo, C.; Plath, M.",fish,Gambusia affinis,field,lab,adult,boldness,experimental,42,40,43.81,9.52,41.905,8.196,SE,61.697,51.836,1,173,83,time to emergence,Supplementary,,,,
291,P040,Personality differentially affects individual mate choice decisions in female and male Western mosquitofish (Gambusia affinis),2018,PLoS ONE,13,5,,"Chen, B.-J.; Liu. K.; Zhou, L.-J.; Gomes-Silva, G.; Sommer-Trembo, C.; Plath, M.",fish,Gambusia affinis,field,lab,adult,activity,experimental,42,40,148.595,6.084,161.619,11.843,SE,39.429,74.902,1,175,84,no. squares crossed,Supplementary,,,,
292,P040,Personality differentially affects individual mate choice decisions in female and male Western mosquitofish (Gambusia affinis),2018,PLoS ONE,13,5,,"Chen, B.-J.; Liu. K.; Zhou, L.-J.; Gomes-Silva, G.; Sommer-Trembo, C.; Plath, M.",fish,Gambusia affinis,field,lab,adult,sociality,experimental,42,40,218.738,13.705,250.929,11.591,SE,88.819,73.308,,178,85,time in shoal,Supplementary,,,,
293,P040,Personality differentially affects individual mate choice decisions in female and male Western mosquitofish (Gambusia affinis),2018,PLoS ONE,13,5,,"Chen, B.-J.; Liu. K.; Zhou, L.-J.; Gomes-Silva, G.; Sommer-Trembo, C.; Plath, M.",fish,Gambusia affinis,field,lab,adult,activity,experimental,30,42,2.63,0.87,2.71,1.22,SD,0.87,1.22,,176,84,no. squares crossed,in-text,,,,
294,P041,A strong genetic correlation underlying a behavioural syndrome disappears during development because of genotype_age interactions,2015,Proceedings of the Royal Society B: Biological Sciences,282,1809,,"Class, B.; Brommer, J.E.",bird,Cyanistes caeruleus,field,field,juvenile,exploration,experimental,1410,1308,1.815,0.011,1.865,0.011,SE,0.413,0.398,1,179,86,breathing rate,Supplementary,,,,
295,P041,A strong genetic correlation underlying a behavioural syndrome disappears during development because of genotype_age interactions,2015,Proceedings of the Royal Society B: Biological Sciences,282,1809,,"Class, B.; Brommer, J.E.",bird,Cyanistes caeruleus,field,field,juvenile,aggression,experimental,1611,1503,2.719,0.031,2.6,0.03,SE,1.244,1.163,1,180,87,handling aggression score,Supplementary,1,,,
296,P041,A strong genetic correlation underlying a behavioural syndrome disappears during development because of genotype_age interactions,2015,Proceedings of the Royal Society B: Biological Sciences,282,1809,,"Class, B.; Brommer, J.E.",bird,Cyanistes caeruleus,field,field,adult,exploration,experimental,720,806,2.193,0.013,2.546,0.017,SE,0.349,0.483,1,181,88,breathing rate,Supplementary,,,,
297,P041,A strong genetic correlation underlying a behavioural syndrome disappears during development because of genotype_age interactions,2015,Proceedings of the Royal Society B: Biological Sciences,282,1809,,"Class, B.; Brommer, J.E.",bird,Cyanistes caeruleus,field,field,adult,aggression,experimental,761,872,3.261,0.036,2.775,0.039,SE,0.993,1.152,1,182,89,handling aggression score,Supplementary,1,,,
298,P042,Long-Term Provision of Environmental Resources Alters Behavior but not Physiology or Neuroanatomy of Male and Female BALB/c and C57BL/6 Mice,2015,JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE,54,6,718-730,"Clipperton-Allen, A.E.; Ingrao, J.C.; Ruggiero, L.; Batista, L.; Ovari, J.; Hammermueller, J.; Armstrong, J.N.; Bienzle, D.; Choleris, E.; Turner, P.V. ",mammal,Mus musculus,lab,lab,adult,aggression,experimental,20,20,10.815,3.652,6.331,5.556,SE,16.332,24.847,,183,90,dominant freq.,Figure,,,,
299,P042,Long-Term Provision of Environmental Resources Alters Behavior but not Physiology or Neuroanatomy of Male and Female BALB/c and C57BL/6 Mice,2015,JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE,54,6,718-730,"Clipperton-Allen, A.E.; Ingrao, J.C.; Ruggiero, L.; Batista, L.; Ovari, J.; Hammermueller, J.; Armstrong, J.N.; Bienzle, D.; Choleris, E.; Turner, P.V. ",mammal,Mus musculus,lab,lab,adult,aggression,experimental,20,20,6.461,1.966,4.134,1.292,SE,8.792,5.778,,183,90,dominant freq.,Figure,,,,
300,P042,Long-Term Provision of Environmental Resources Alters Behavior but not Physiology or Neuroanatomy of Male and Female BALB/c and C57BL/6 Mice,2015,JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE,54,6,718-730,"Clipperton-Allen, A.E.; Ingrao, J.C.; Ruggiero, L.; Batista, L.; Ovari, J.; Hammermueller, J.; Armstrong, J.N.; Bienzle, D.; Choleris, E.; Turner, P.V. ",mammal,Mus musculus,lab,lab,adult,aggression,experimental,20,20,8.006,3.089,6.331,1.68,SE,13.814,7.513,,183,90,dominant freq.,Figure,,,,
301,P042,Long-Term Provision of Environmental Resources Alters Behavior but not Physiology or Neuroanatomy of Male and Female BALB/c and C57BL/6 Mice,2015,JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE,54,6,718-730,"Clipperton-Allen, A.E.; Ingrao, J.C.; Ruggiero, L.; Batista, L.; Ovari, J.; Hammermueller, J.; Armstrong, J.N.; Bienzle, D.; Choleris, E.; Turner, P.V. ",mammal,Mus musculus,lab,lab,adult,aggression,experimental,20,20,10.955,2.669,6.331,2.196,SE,11.936,9.821,,183,90,dominant freq.,Figure,,,,
302,P042,Long-Term Provision of Environmental Resources Alters Behavior but not Physiology or Neuroanatomy of Male and Female BALB/c and C57BL/6 Mice,2015,JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE,54,6,718-730,"Clipperton-Allen, A.E.; Ingrao, J.C.; Ruggiero, L.; Batista, L.; Ovari, J.; Hammermueller, J.; Armstrong, J.N.; Bienzle, D.; Choleris, E.; Turner, P.V. ",mammal,Mus musculus,lab,lab,adult,aggression,experimental,20,20,9.972,3.933,7.493,3.23,SE,17.589,14.445,,183,90,dominant freq.,Figure,,,,
303,P042,Long-Term Provision of Environmental Resources Alters Behavior but not Physiology or Neuroanatomy of Male and Female BALB/c and C57BL/6 Mice,2015,JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE,54,6,718-730,"Clipperton-Allen, A.E.; Ingrao, J.C.; Ruggiero, L.; Batista, L.; Ovari, J.; Hammermueller, J.; Armstrong, J.N.; Bienzle, D.; Choleris, E.; Turner, P.V. ",mammal,Mus musculus,lab,lab,adult,aggression,experimental,20,20,29.916,48.993,16.021,4.264,SE,219.103,19.069,,185,91,dominant freq.,Figure,,,,
304,P042,Long-Term Provision of Environmental Resources Alters Behavior but not Physiology or Neuroanatomy of Male and Female BALB/c and C57BL/6 Mice,2015,JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE,54,6,718-730,"Clipperton-Allen, A.E.; Ingrao, J.C.; Ruggiero, L.; Batista, L.; Ovari, J.; Hammermueller, J.; Armstrong, J.N.; Bienzle, D.; Choleris, E.; Turner, P.V. ",mammal,Mus musculus,lab,lab,adult,aggression,experimental,20,20,24.719,6.32,10.594,4.522,SE,28.264,20.223,,185,91,dominant freq.,Figure,,,,
305,P042,Long-Term Provision of Environmental Resources Alters Behavior but not Physiology or Neuroanatomy of Male and Female BALB/c and C57BL/6 Mice,2015,JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE,54,6,718-730,"Clipperton-Allen, A.E.; Ingrao, J.C.; Ruggiero, L.; Batista, L.; Ovari, J.; Hammermueller, J.; Armstrong, J.N.; Bienzle, D.; Choleris, E.; Turner, P.V. ",mammal,Mus musculus,lab,lab,adult,aggression,experimental,20,20,21.77,4.213,19.509,6.589,SE,18.841,29.467,,185,91,dominant freq.,Figure,,,,
306,P042,Long-Term Provision of Environmental Resources Alters Behavior but not Physiology or Neuroanatomy of Male and Female BALB/c and C57BL/6 Mice,2015,JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE,54,6,718-730,"Clipperton-Allen, A.E.; Ingrao, J.C.; Ruggiero, L.; Batista, L.; Ovari, J.; Hammermueller, J.; Armstrong, J.N.; Bienzle, D.; Choleris, E.; Turner, P.V. ",mammal,Mus musculus,lab,lab,adult,aggression,experimental,20,20,20.506,2.388,18.863,6.46,SE,10.679,28.89,,185,91,dominant freq.,Figure,,,,
307,P042,Long-Term Provision of Environmental Resources Alters Behavior but not Physiology or Neuroanatomy of Male and Female BALB/c and C57BL/6 Mice,2015,JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE,54,6,718-730,"Clipperton-Allen, A.E.; Ingrao, J.C.; Ruggiero, L.; Batista, L.; Ovari, J.; Hammermueller, J.; Armstrong, J.N.; Bienzle, D.; Choleris, E.; Turner, P.V. ",mammal,Mus musculus,lab,lab,adult,aggression,experimental,20,20,30.478,5.478,15.762,4.522,SE,24.498,20.223,,185,91,dominant freq.,Figure,,,,
308,P042,Long-Term Provision of Environmental Resources Alters Behavior but not Physiology or Neuroanatomy of Male and Female BALB/c and C57BL/6 Mice,2015,JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE,54,6,718-730,"Clipperton-Allen, A.E.; Ingrao, J.C.; Ruggiero, L.; Batista, L.; Ovari, J.; Hammermueller, J.; Armstrong, J.N.; Bienzle, D.; Choleris, E.; Turner, P.V. ",mammal,Mus musculus,lab,lab,adult,aggression,experimental,20,20,8.239,2.557,9.318,1.444,SE,11.435,6.458,,187,92,dominant freq.,Figure,,,,
309,P042,Long-Term Provision of Environmental Resources Alters Behavior but not Physiology or Neuroanatomy of Male and Female BALB/c and C57BL/6 Mice,2015,JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE,54,6,718-730,"Clipperton-Allen, A.E.; Ingrao, J.C.; Ruggiero, L.; Batista, L.; Ovari, J.; Hammermueller, J.; Armstrong, J.N.; Bienzle, D.; Choleris, E.; Turner, P.V. ",mammal,Mus musculus,lab,lab,adult,aggression,experimental,20,20,10.511,2.273,6.955,1.837,SE,10.165,8.215,,187,92,dominant freq.,Figure,,,,
310,P042,Long-Term Provision of Environmental Resources Alters Behavior but not Physiology or Neuroanatomy of Male and Female BALB/c and C57BL/6 Mice,2015,JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE,54,6,718-730,"Clipperton-Allen, A.E.; Ingrao, J.C.; Ruggiero, L.; Batista, L.; Ovari, J.; Hammermueller, J.; Armstrong, J.N.; Bienzle, D.; Choleris, E.; Turner, P.V. ",mammal,Mus musculus,lab,lab,adult,aggression,experimental,20,20,2.415,1.278,4.462,1.444,SE,5.715,6.458,,187,92,dominant freq.,Figure,,,,
311,P042,Long-Term Provision of Environmental Resources Alters Behavior but not Physiology or Neuroanatomy of Male and Female BALB/c and C57BL/6 Mice,2015,JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE,54,6,718-730,"Clipperton-Allen, A.E.; Ingrao, J.C.; Ruggiero, L.; Batista, L.; Ovari, J.; Hammermueller, J.; Armstrong, J.N.; Bienzle, D.; Choleris, E.; Turner, P.V. ",mammal,Mus musculus,lab,lab,adult,aggression,experimental,20,20,8.949,3.977,9.711,3.412,SE,17.786,15.259,,187,92,dominant freq.,Figure,,,,
312,P042,Long-Term Provision of Environmental Resources Alters Behavior but not Physiology or Neuroanatomy of Male and Female BALB/c and C57BL/6 Mice,2015,JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE,54,6,718-730,"Clipperton-Allen, A.E.; Ingrao, J.C.; Ruggiero, L.; Batista, L.; Ovari, J.; Hammermueller, J.; Armstrong, J.N.; Bienzle, D.; Choleris, E.; Turner, P.V. ",mammal,Mus musculus,lab,lab,adult,aggression,experimental,20,20,5.682,1.705,4.987,1.837,SE,7.625,8.215,,187,92,dominant freq.,Figure,,,,
313,P042,Long-Term Provision of Environmental Resources Alters Behavior but not Physiology or Neuroanatomy of Male and Female BALB/c and C57BL/6 Mice,2015,JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE,54,6,718-730,"Clipperton-Allen, A.E.; Ingrao, J.C.; Ruggiero, L.; Batista, L.; Ovari, J.; Hammermueller, J.; Armstrong, J.N.; Bienzle, D.; Choleris, E.; Turner, P.V. ",mammal,Mus musculus,lab,lab,adult,aggression,experimental,20,20,25.852,7.813,18.504,2.231,SE,34.941,9.977,,189,93,dominant freq.,Figure,,,,
314,P042,Long-Term Provision of Environmental Resources Alters Behavior but not Physiology or Neuroanatomy of Male and Female BALB/c and C57BL/6 Mice,2015,JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE,54,6,718-730,"Clipperton-Allen, A.E.; Ingrao, J.C.; Ruggiero, L.; Batista, L.; Ovari, J.; Hammermueller, J.; Armstrong, J.N.; Bienzle, D.; Choleris, E.; Turner, P.V. ",mammal,Mus musculus,lab,lab,adult,aggression,experimental,20,20,35.653,5.54,21.522,4.593,SE,24.776,20.541,,189,93,dominant freq.,Figure,,,,
315,P042,Long-Term Provision of Environmental Resources Alters Behavior but not Physiology or Neuroanatomy of Male and Female BALB/c and C57BL/6 Mice,2015,JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE,54,6,718-730,"Clipperton-Allen, A.E.; Ingrao, J.C.; Ruggiero, L.; Batista, L.; Ovari, J.; Hammermueller, J.; Armstrong, J.N.; Bienzle, D.; Choleris, E.; Turner, P.V. ",mammal,Mus musculus,lab,lab,adult,aggression,experimental,20,20,17.897,2.983,18.241,3.806,SE,13.34,17.021,,189,93,dominant freq.,Figure,,,,
316,P042,Long-Term Provision of Environmental Resources Alters Behavior but not Physiology or Neuroanatomy of Male and Female BALB/c and C57BL/6 Mice,2015,JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE,54,6,718-730,"Clipperton-Allen, A.E.; Ingrao, J.C.; Ruggiero, L.; Batista, L.; Ovari, J.; Hammermueller, J.; Armstrong, J.N.; Bienzle, D.; Choleris, E.; Turner, P.V. ",mammal,Mus musculus,lab,lab,adult,aggression,experimental,20,20,42.614,6.392,20.21,5.381,SE,28.586,24.065,,189,93,dominant freq.,Figure,,,,
317,P042,Long-Term Provision of Environmental Resources Alters Behavior but not Physiology or Neuroanatomy of Male and Female BALB/c and C57BL/6 Mice,2015,JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE,54,6,718-730,"Clipperton-Allen, A.E.; Ingrao, J.C.; Ruggiero, L.; Batista, L.; Ovari, J.; Hammermueller, J.; Armstrong, J.N.; Bienzle, D.; Choleris, E.; Turner, P.V. ",mammal,Mus musculus,lab,lab,adult,aggression,experimental,20,20,27.841,4.545,33.596,6.693,SE,20.326,29.932,,189,93,dominant freq.,Figure,,,,
318,P042,Long-Term Provision of Environmental Resources Alters Behavior but not Physiology or Neuroanatomy of Male and Female BALB/c and C57BL/6 Mice,2015,JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE,54,6,718-730,"Clipperton-Allen, A.E.; Ingrao, J.C.; Ruggiero, L.; Batista, L.; Ovari, J.; Hammermueller, J.; Armstrong, J.N.; Bienzle, D.; Choleris, E.; Turner, P.V. ",mammal,Mus musculus,lab,lab,adult,sociality,experimental,20,20,18.495,2.366,9.796,3.878,SE,10.581,17.343,,184,94,social frequency,Figure,,,,
319,P042,Long-Term Provision of Environmental Resources Alters Behavior but not Physiology or Neuroanatomy of Male and Female BALB/c and C57BL/6 Mice,2015,JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE,54,6,718-730,"Clipperton-Allen, A.E.; Ingrao, J.C.; Ruggiero, L.; Batista, L.; Ovari, J.; Hammermueller, J.; Armstrong, J.N.; Bienzle, D.; Choleris, E.; Turner, P.V. ",mammal,Mus musculus,lab,lab,adult,sociality,experimental,20,20,16.344,5.591,16.327,4.286,SE,25.004,19.168,,184,94,social frequency,Figure,,,,
320,P042,Long-Term Provision of Environmental Resources Alters Behavior but not Physiology or Neuroanatomy of Male and Female BALB/c and C57BL/6 Mice,2015,JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE,54,6,718-730,"Clipperton-Allen, A.E.; Ingrao, J.C.; Ruggiero, L.; Batista, L.; Ovari, J.; Hammermueller, J.; Armstrong, J.N.; Bienzle, D.; Choleris, E.; Turner, P.V. ",mammal,Mus musculus,lab,lab,adult,sociality,experimental,20,20,24.086,6.237,15.51,3.469,SE,27.893,15.514,,184,94,social frequency,Figure,,,,
321,P042,Long-Term Provision of Environmental Resources Alters Behavior but not Physiology or Neuroanatomy of Male and Female BALB/c and C57BL/6 Mice,2015,JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE,54,6,718-730,"Clipperton-Allen, A.E.; Ingrao, J.C.; Ruggiero, L.; Batista, L.; Ovari, J.; Hammermueller, J.; Armstrong, J.N.; Bienzle, D.; Choleris, E.; Turner, P.V. ",mammal,Mus musculus,lab,lab,adult,sociality,experimental,20,20,33.548,6.022,20.612,3.469,SE,26.931,15.514,,184,94,social frequency,Figure,,,,
322,P042,Long-Term Provision of Environmental Resources Alters Behavior but not Physiology or Neuroanatomy of Male and Female BALB/c and C57BL/6 Mice,2015,JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE,54,6,718-730,"Clipperton-Allen, A.E.; Ingrao, J.C.; Ruggiero, L.; Batista, L.; Ovari, J.; Hammermueller, J.; Armstrong, J.N.; Bienzle, D.; Choleris, E.; Turner, P.V. ",mammal,Mus musculus,lab,lab,adult,sociality,experimental,20,20,21.72,5.161,23.469,5.51,SE,23.081,24.641,,184,94,social frequency,Figure,,,,
323,P042,Long-Term Provision of Environmental Resources Alters Behavior but not Physiology or Neuroanatomy of Male and Female BALB/c and C57BL/6 Mice,2015,JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE,54,6,718-730,"Clipperton-Allen, A.E.; Ingrao, J.C.; Ruggiero, L.; Batista, L.; Ovari, J.; Hammermueller, J.; Armstrong, J.N.; Bienzle, D.; Choleris, E.; Turner, P.V. ",mammal,Mus musculus,lab,lab,adult,sociality,experimental,20,20,42.366,0,18.571,4.286,SE,0,19.168,,186,95,social frequency,Figure,,,,1
324,P042,Long-Term Provision of Environmental Resources Alters Behavior but not Physiology or Neuroanatomy of Male and Female BALB/c and C57BL/6 Mice,2015,JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE,54,6,718-730,"Clipperton-Allen, A.E.; Ingrao, J.C.; Ruggiero, L.; Batista, L.; Ovari, J.; Hammermueller, J.; Armstrong, J.N.; Bienzle, D.; Choleris, E.; Turner, P.V. ",mammal,Mus musculus,lab,lab,adult,sociality,experimental,20,20,31.613,7.312,19.592,6.327,SE,32.7,28.295,,186,95,social frequency,Figure,,,,
325,P042,Long-Term Provision of Environmental Resources Alters Behavior but not Physiology or Neuroanatomy of Male and Female BALB/c and C57BL/6 Mice,2015,JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE,54,6,718-730,"Clipperton-Allen, A.E.; Ingrao, J.C.; Ruggiero, L.; Batista, L.; Ovari, J.; Hammermueller, J.; Armstrong, J.N.; Bienzle, D.; Choleris, E.; Turner, P.V. ",mammal,Mus musculus,lab,lab,adult,sociality,experimental,20,20,31.183,13.978,17.96,4.898,SE,62.512,21.905,,186,95,social frequency,Figure,,,,
326,P042,Long-Term Provision of Environmental Resources Alters Behavior but not Physiology or Neuroanatomy of Male and Female BALB/c and C57BL/6 Mice,2015,JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE,54,6,718-730,"Clipperton-Allen, A.E.; Ingrao, J.C.; Ruggiero, L.; Batista, L.; Ovari, J.; Hammermueller, J.; Armstrong, J.N.; Bienzle, D.; Choleris, E.; Turner, P.V. ",mammal,Mus musculus,lab,lab,adult,sociality,experimental,20,20,44.516,17.634,21.63,4.694,SE,78.862,20.992,,186,95,social frequency,Figure,,,,
327,P042,Long-Term Provision of Environmental Resources Alters Behavior but not Physiology or Neuroanatomy of Male and Female BALB/c and C57BL/6 Mice,2015,JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE,54,6,718-730,"Clipperton-Allen, A.E.; Ingrao, J.C.; Ruggiero, L.; Batista, L.; Ovari, J.; Hammermueller, J.; Armstrong, J.N.; Bienzle, D.; Choleris, E.; Turner, P.V. ",mammal,Mus musculus,lab,lab,adult,sociality,experimental,20,20,32.258,7.742,21.837,3.878,SE,34.623,17.343,,186,95,social frequency,Figure,,,,
328,P042,Long-Term Provision of Environmental Resources Alters Behavior but not Physiology or Neuroanatomy of Male and Female BALB/c and C57BL/6 Mice,2015,JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE,54,6,718-730,"Clipperton-Allen, A.E.; Ingrao, J.C.; Ruggiero, L.; Batista, L.; Ovari, J.; Hammermueller, J.; Armstrong, J.N.; Bienzle, D.; Choleris, E.; Turner, P.V. ",mammal,Mus musculus,lab,lab,adult,sociality,experimental,20,20,9.119,1.865,9.534,4.145,SE,8.341,18.537,,188,96,social frequency,Figure,,,,
329,P042,Long-Term Provision of Environmental Resources Alters Behavior but not Physiology or Neuroanatomy of Male and Female BALB/c and C57BL/6 Mice,2015,JOURNAL OF THE AMERICAN ASSOCIATION FOR LABORATORY ANIMAL SCIENCE,54,6,718-730,"Clipperton-Allen, A.E.; Ingrao, J.C.; Ruggiero, L.; Batista, L.; Ovari, J.; Hammermueller, J.; Armstrong, J.N.; Bienzle, D.; Choleris, E.; Turner, P.V. ",mammal,Mus musculus,lab,lab,adult,sociality,experimental,20,20,15.751,2.902,9.741,1.658,SE,12.978,7.415,,188,96,social frequency,Figure,,,,
