row_ID,study_ID,title,year,journal,volume,issue,pages,authors,taxo_group,species_name,population,study_environment,age,personality_trait,study_type,male_n,female_n,male_mean,male_SE,female_mean,female_SE,error_type,m_SE_to_SD,f_SE_to_SD,directionality,comp,depend,data_type,data_location,score,proportion,flip_sign,data_quality
16,P002,Personality links with lifespan in chimpanzees,2018,ELIFE,7,,e33781,"Altschul, D.M.; Hopkins, W.D.; Herrelko, E.S.; Inoue-Murayama, M.; Matsuzawa, T.; King, J.E.; Ross, S.R.; Weiss, A.",mammal,Pan troglodytes,lab,lab,adult,sociality,experimental,216,322,3.738,0.053,4.039,0.046,SE,0.779,0.825,,4,3,score,Supplementary,1,,,2
17,P002,Personality links with lifespan in chimpanzees,2018,ELIFE,7,,e33781,"Altschul, D.M.; Hopkins, W.D.; Herrelko, E.S.; Inoue-Murayama, M.; Matsuzawa, T.; King, J.E.; Ross, S.R.; Weiss, A.",mammal,Pan troglodytes,lab,lab,adult,boldness,experimental,216,322,4.379,0.063,4.126,0.052,SE,0.926,0.933,1,5,4,score,Supplementary,1,,,2
18,P002,Personality links with lifespan in chimpanzees,2018,ELIFE,7,,e33781,"Altschul, D.M.; Hopkins, W.D.; Herrelko, E.S.; Inoue-Murayama, M.; Matsuzawa, T.; King, J.E.; Ross, S.R.; Weiss, A.",mammal,Pan troglodytes,lab,lab,adult,sociality,experimental,216,322,3.972,0.074,4.092,0.066,SE,1.088,1.184,,4,3,score,Supplementary,1,,,2
19,P003,"Selective aggressiveness in European free-tailed bats (Tadarida teniotis): Influence of familiarity, age and sex",2014,Naturwissenschaften,101,3,221-228,"Ancillotto, L.; Russo, D.",mammal,Tadarida teniotis,lab,lab,adult,aggression,experimental,7,11,0.117,0.02,0.425,0.016,SE,0.053,0.053,,6,5,AI score,Figure,1,,,
20,P003,"Selective aggressiveness in European free-tailed bats (Tadarida teniotis): Influence of familiarity, age and sex",2014,Naturwissenschaften,101,3,221-228,"Ancillotto, L.; Russo, D.",mammal,Tadarida teniotis,lab,lab,adult,aggression,experimental,7,11,0,0,0.196,0.006,SE,0,0.02,,6,5,AI score,Figure,1,,,1
21,P003,"Selective aggressiveness in European free-tailed bats (Tadarida teniotis): Influence of familiarity, age and sex",2014,Naturwissenschaften,101,3,221-229,"Ancillotto, L.; Russo, D.",mammal,Tadarida teniotis,lab,lab,adult,aggression,experimental,7,11,0.146,0.008,0.292,0.008,SE,0.021,0.027,,6,5,AI score,Figure,1,,,
22,P003,"Selective aggressiveness in European free-tailed bats (Tadarida teniotis): Influence of familiarity, age and sex",2014,Naturwissenschaften,101,3,221-230,"Ancillotto, L.; Russo, D.",mammal,Tadarida teniotis,lab,lab,adult,aggression,experimental,7,11,0.108,0.011,0.117,0.015,SE,0.029,0.05,,6,5,AI score,Figure,1,,,
23,P004,Innovation as part of a wider behavioural syndrome in the guppy: The effect of sex and body size,2018,Ethology,124,10,760-772,"Anderson Berdal, M.; Rosenqvist, G.; Wright, J.",fish,Poecilia reticulata,lab,lab,adult,exploration,experimental,19,19,252.768,25.26,243.426,20.415,SE,110.106,88.987,,7,6,rate,Figure,,,,
24,P004,Innovation as part of a wider behavioural syndrome in the guppy: The effect of sex and body size,2018,Ethology,124,10,760-772,"Anderson Berdal, M.; Rosenqvist, G.; Wright, J.",fish,Poecilia reticulata,lab,lab,adult,exploration,experimental,19,19,199.827,17.647,181.488,16.609,SE,76.921,72.397,,9,8,rate,Figure,,,,
25,P004,Innovation as part of a wider behavioural syndrome in the guppy: The effect of sex and body size,2018,Ethology,124,10,760-772,"Anderson Berdal, M.; Rosenqvist, G.; Wright, J.",fish,Poecilia reticulata,lab,lab,adult,exploration,experimental,19,19,236.159,19.377,172.145,15.917,SE,84.462,69.381,,11,10,rate,Figure,,,,
26,P004,Innovation as part of a wider behavioural syndrome in the guppy: The effect of sex and body size,2018,Ethology,124,10,760-772,"Anderson Berdal, M.; Rosenqvist, G.; Wright, J.",fish,Poecilia reticulata,lab,lab,adult,exploration,experimental,19,19,32.234,4.837,36.526,4.7,SE,21.084,20.487,,7,6,rate,Figure,,,,
27,P004,Innovation as part of a wider behavioural syndrome in the guppy: The effect of sex and body size,2018,Ethology,124,10,760-772,"Anderson Berdal, M.; Rosenqvist, G.; Wright, J.",fish,Poecilia reticulata,lab,lab,adult,exploration,experimental,19,19,18.951,3.406,23.379,3.406,SE,14.846,14.846,,9,8,rate,Figure,,,,
28,P004,Innovation as part of a wider behavioural syndrome in the guppy: The effect of sex and body size,2018,Ethology,124,10,760-772,"Anderson Berdal, M.; Rosenqvist, G.; Wright, J.",fish,Poecilia reticulata,lab,lab,adult,exploration,experimental,19,19,23.038,3.065,28.828,4.428,SE,13.36,19.301,,11,10,rate,Figure,,,,
29,P004,Innovation as part of a wider behavioural syndrome in the guppy: The effect of sex and body size,2018,Ethology,124,10,760-772,"Anderson Berdal, M.; Rosenqvist, G.; Wright, J.",fish,Poecilia reticulata,lab,lab,adult,exploration,experimental,19,19,88.405,29.112,47.204,11.842,SE,126.896,51.618,,7,6,rate,Figure,,,,
30,P004,Innovation as part of a wider behavioural syndrome in the guppy: The effect of sex and body size,2018,Ethology,124,10,760-772,"Anderson Berdal, M.; Rosenqvist, G.; Wright, J.",fish,Poecilia reticulata,lab,lab,adult,exploration,experimental,19,19,63.24,16.53,64.474,10.609,SE,72.053,46.244,,9,8,rate,Figure,,,,
31,P004,Innovation as part of a wider behavioural syndrome in the guppy: The effect of sex and body size,2018,Ethology,124,10,760-772,"Anderson Berdal, M.; Rosenqvist, G.; Wright, J.",fish,Poecilia reticulata,lab,lab,adult,exploration,experimental,19,19,33.882,7.401,61.76,11.595,SE,32.26,50.541,,11,10,rate,Figure,,,,
32,P004,Innovation as part of a wider behavioural syndrome in the guppy: The effect of sex and body size,2018,Ethology,124,10,760-772,"Anderson Berdal, M.; Rosenqvist, G.; Wright, J.",fish,Poecilia reticulata,lab,lab,adult,boldness,experimental,19,19,72.949,27.208,94.242,27.208,SE,118.597,118.597,,8,7,rate,Figure,,,,
33,P004,Innovation as part of a wider behavioural syndrome in the guppy: The effect of sex and body size,2018,Ethology,124,10,760-772,"Anderson Berdal, M.; Rosenqvist, G.; Wright, J.",fish,Poecilia reticulata,lab,lab,adult,boldness,experimental,19,19,57.334,14.669,66.798,19.164,SE,63.941,83.534,,10,9,rate,Figure,,,,
34,P004,Innovation as part of a wider behavioural syndrome in the guppy: The effect of sex and body size,2018,Ethology,124,10,760-772,"Anderson Berdal, M.; Rosenqvist, G.; Wright, J.",fish,Poecilia reticulata,lab,lab,adult,boldness,experimental,19,19,51.42,20.347,45.741,11.83,SE,88.691,51.566,,12,11,rate,Figure,,,,
35,P004,Innovation as part of a wider behavioural syndrome in the guppy: The effect of sex and body size,2018,Ethology,124,10,760-772,"Anderson Berdal, M.; Rosenqvist, G.; Wright, J.",fish,Poecilia reticulata,lab,lab,adult,boldness,experimental,19,19,54.834,16.093,65.166,20.464,SE,70.148,89.201,,8,7,rate,Figure,,,,
36,P004,Innovation as part of a wider behavioural syndrome in the guppy: The effect of sex and body size,2018,Ethology,124,10,760-772,"Anderson Berdal, M.; Rosenqvist, G.; Wright, J.",fish,Poecilia reticulata,lab,lab,adult,boldness,experimental,19,19,67.748,21.656,84.437,21.457,SE,94.396,93.529,,10,9,rate,Figure,,,,
37,P004,Innovation as part of a wider behavioural syndrome in the guppy: The effect of sex and body size,2018,Ethology,124,10,760-772,"Anderson Berdal, M.; Rosenqvist, G.; Wright, J.",fish,Poecilia reticulata,lab,lab,adult,boldness,experimental,19,19,52.252,21.06,58.411,20.861,SE,91.798,90.931,,12,11,rate,Figure,,,,
38,P006,Sex-dependent use of information on conspecific feeding activities in an amphibian urodelian,2009,Functional Ecology,23,2,380-388,"Aragon, P.",reptilia,Lissotriton boscai,field,lab,adult,aggression,experimental,41,41,1.278,0.583,6.361,1.472,SE,3.733,9.425,,13,12,no. encounters,Figure,,,,
39,P006,Sex-dependent use of information on conspecific feeding activities in an amphibian urodelian,2009,Functional Ecology,23,2,380-388,"Aragon, P.",reptilia,Lissotriton boscai,field,lab,adult,aggression,experimental,20,20,1.361,0.611,1.944,0.167,SE,2.732,0.747,,14,13,no. encounters,Figure,,,,
40,P006,Sex-dependent use of information on conspecific feeding activities in an amphibian urodelian,2009,Functional Ecology,23,2,380-388,"Aragon, P.",reptilia,Lissotriton boscai,field,lab,adult,sociality,experimental,10,10,23.306,4.959,12.893,4.339,SE,15.682,13.721,,15,14,% time,Figure,,,,
41,P006,Sex-dependent use of information on conspecific feeding activities in an amphibian urodelian,2009,Functional Ecology,23,2,380-388,"Aragon, P.",reptilia,Lissotriton boscai,field,lab,adult,sociality,experimental,10,10,20.331,3.347,32.851,3.967,SE,10.584,12.545,,15,14,% time,Figure,,,,
42,P008,Variation in aggressive behaviour in the poeciliid fish Brachyrhaphis episcopi: Population and sex differences,2011,Behavioural Processes,86,1,52-57,"Archard, G.A.; Braithwaite, V.A.",fish,Brachyrhaphis episcopi,field,lab,adult,aggression,experimental,6,6,1.766,0.541,1.622,0.685,SE,1.325,1.678,,16,9,rate,Figure,,,,
43,P008,Variation in aggressive behaviour in the poeciliid fish Brachyrhaphis episcopi: Population and sex differences,2011,Behavioural Processes,86,1,52-57,"Archard, G.A.; Braithwaite, V.A.",fish,Brachyrhaphis episcopi,field,lab,adult,aggression,experimental,6,6,3.604,0.793,3.82,0.685,SE,1.942,1.678,,17,10,rate,Figure,,,,
44,P008,Variation in aggressive behaviour in the poeciliid fish Brachyrhaphis episcopi: Population and sex differences,2011,Behavioural Processes,86,1,52-57,"Archard, G.A.; Braithwaite, V.A.",fish,Brachyrhaphis episcopi,field,lab,adult,aggression,experimental,6,6,4.865,1.225,3.676,0.901,SE,3.001,2.207,,18,11,rate,Figure,,,,
45,P008,Variation in aggressive behaviour in the poeciliid fish Brachyrhaphis episcopi: Population and sex differences,2011,Behavioural Processes,86,1,52-57,"Archard, G.A.; Braithwaite, V.A.",fish,Brachyrhaphis episcopi,field,lab,adult,aggression,experimental,6,6,4.541,1.117,6.559,1.514,SE,2.736,3.709,,19,12,rate,Figure,,,,
