"study_ID","row_ID","male_mean_conv","male_sd_conv","female_mean_conv","female_sd_conv"
"P233",2243,1.57050694289964,1.00516421534243,1.55979964913888,0.998161170216342
"P233",2244,3.95165126207377,0.800002893893194,3.36380048337892,0.909699319001949
"P233",2246,3.55649322444404,1.00736500861739,2.99662714953361,1.10670418751432
"P233",2242,3.92715531749926,0.788853951172238,3.72928548967444,0.777556108343754
"P233",2245,4.10191339731755,0.757253443029357,3.95171749358307,0.755167332354421
"P150",1397,4.02538605378988,0.930864479397846,4.0355616119236,0.948484064820167
"P127",1100,1.98728093300036,1.50173979485322,3.0896996252343,1.52869151488663
"P127",1099,3.18212764031319,1.47583011462531,2.48932923760327,1.60241591775621
"P023",163,1.80487313835525,1.40119957481788,5.33166200271224,0.724680433940868
"P125",1097,3.59435465505743,0.54635098379293,3.79575014956798,0.539698924382966
"P243",2478,4.15217281180616,1.29005310507009,3.91814142225416,1.4713555219515
"P243",2479,4.29595207437197,1.1733194316849,4.16271496337682,1.29450376196127
"P169",1515,2.0644103044964,0.765065975954646,2.14431086829499,0.790835732631592
"P169",1530,2.91055506634115,0.922187085138967,2.62640675619308,1.00688746174881
"P169",1514,2.79177146823867,0.854668301636892,2.12838751254841,0.803265318016291
"P169",1531,3.06476179239,0.89551561729512,3.65120022903716,0.757727058425457
"P149",1385,3.80065484460529,0.915262651451288,2.80632505650753,0.69021356291498
"P149",1386,3.05865426897644,0.631573066311473,2.18460343368576,0.953366556922882
"P237",2318,2.96466832279399,0.475711512911154,2.42149747377845,0.87529914236721
"P237",2322,4.42845201424537,0.599289729135947,4.37626577694716,0.717040998992068
"P237",2323,3.86722406292384,0.794870382027555,3.42549776067962,0.953520893493043
"P237",2324,4.39433090165304,0.336705423683396,4.65916978715148,0.432030037398226
"P237",2325,4.59799286932902,0.528972375664542,5.12583077093728,0.1270106989461
"P237",2326,3.75162586950075,0.743003019522628,3.93606868686003,0.818789270657093
"P237",2319,2.01038255290987,1.09910517432217,2.64306505709501,1.02545583441476
"P237",2321,4.36236553803218,0.343096986417886,4.06277877662181,0.632365958995231
"P149",1387,3.12198130939305,0.78994416902981,3.62183838199943,0.761819694453635
"P237",2320,3.17340278618788,0.726279178068243,1.69466690977702,1.15510176421723
"P149",1388,3.35076837558981,0.977622647957062,2.84983784635177,0.944456478248262
"P206",1996,6.14220627488908,0.295961370867139,6.17744219241282,0.316487381346931
"P206",1989,1.06298284133397,0.737588266444589,1.05221944869069,0.847074406436143
"P206",1985,6.22903975949785,0.178345388055933,6.11637040101208,0.283495206172841
"P206",1979,1.46626024824854,0.883218820131327,1.88339341566706,1.16752382570505
"P206",1995,4.71322568263608,0.8478738141724,5.59438297518994,0.599763225139427
"P206",1990,1.95117252075155,0.774750640987075,2.36366339270933,0.904350960114989
"P206",1992,5.05304568468235,0.838369700900599,4.72326385972032,0.985016547373419
"P206",1984,4.54649144564115,0.967611357647934,4.99024572843862,0.705481790621763
"P206",1987,4.75473371780775,0.91061876484435,3.85776773047015,1.23950392875575
"P206",1978,0.955413548048121,1.02585670819671,1.01525755098194,1.27223562367127
"P206",1976,2.64789999173289,1.43591721664415,3.27523887846287,1.22044358203922
"P206",1981,3.71263971422397,1.30274984876985,4.94046670615954,0.802774542129167
"P206",1988,4.96131743522176,0.874040384615043,4.39406653559368,1.10381919180297
"P206",1991,3.2352962675823,0.857298649804402,3.48029100265859,0.796797159090606
"P206",1980,2.2621795769749,0.965062952789598,3.16415296154466,0.829943297386022
"P206",1977,2.95993287507465,1.3311275880613,4.30585022489265,0.933378357782079
"P022",161,7.8672270754424,0.791320161920933,7.86414114707675,1.16341615164721
"P184",1673,0.883260585785507,1.12161081922057,1.69909346580816,0.951125480033154
"P184",1696,1.91152965902357,1.1802990013486,2.30587041539408,1.3572127768892
"P184",1674,4.63650266030993,1.03283965896152,4.06400594377006,1.1246923140351
"P184",1670,1.80967239676908,0.963860178348776,2.86538799453628,1.2814354868011
"P184",1657,1.83163857701012,1.33739824133347,2.92691450196059,1.08629588803803
"P184",1660,1.78767135723546,1.14880764796268,1.57512855232021,1.28617328831443
"P184",1687,3.81522246854115,1.26024525160158,3.98891301477475,1.21047583523075
"P184",1661,4.87954240096336,0.968314749584677,4.5194255581772,1.02714119832151
"P184",1699,0.941247333172594,1.31322199416222,1.93520573497561,1.705218652661
"P184",1700,4.47050669730625,1.09412497024666,4.28608603577094,1.11484354319411
"P184",1683,1.47141203995234,1.00584127884708,2.48345297978386,0.769479419770264
"P184",1686,1.27623154178246,1.52676560912549,2.48443178511661,1.1157813561787
"P244",2485,2.6101340305107,0.714509260003383,2.06242235219857,1.5372542154396
"P244",2486,5.11909232156825,0.785243962572171,4.85645692377167,0.819131618837614
"P244",2491,3.12461345568059,1.24778995634113,3.51940683593295,1.18330120361906
"P244",2492,6.20476671153983,0.299265325181852,6.17988253915636,0.31012854713454
"P244",2498,3.51066299224729,0.994635583411198,3.08710665522843,1.28445813493451
"P244",2499,5.90384652648856,0.468182013916156,5.31847036356695,0.696004694594185
"P244",2504,2.92814498323318,1.39959146619386,3.44799019377095,1.1289194214988
"P244",2505,6.22428825245151,0.303547332691296,6.12632565456457,0.363931069480135
"P244",2511,3.54591525078045,1.23190769198894,3.95651059693599,1.14674348103668
"P244",2512,6.21884968053693,0.290789761204363,6.28639873123542,0.238647575788405
