spp_name_phylo,taxo_group,total_n,SSD_index,activity,aggression,boldness,exploration,sociality
Lasiopodomys_mandarinus,mammal,24,-0.084,0,1,1,1,0
Leistus_spinibarbis,invertebrate,6,-0.092,0,0,1,0,0
Liolaemus_nitidus,reptilia,10,0.114,0,0,0,1,0
Lissotriton_boscai,reptilia,4,-0.255,0,1,0,0,1
Lullula_arborea,bird,1,NA,0,0,1,0,0
Macaca_arctoides,mammal,3,0.47,0,0,1,0,0
Macaca_assamensis,mammal,4,0.638,0,1,0,0,0
Macropus_agilis,mammal,5,1.029,0,0,1,0,0
Macropus_giganteus,mammal,4,1.063,0,0,1,0,0
Malurus_cyaneus,bird,1,0.076,0,0,1,0,0
Mantis_religiosa,invertebrate,6,-0.745,0,0,1,0,0
Megadyptes_antipodes,bird,3,0.078,0,0,1,0,0
Melopsittacus_undulatus,bird,31,0.014,0,0,1,0,0
Microcebus_murinus,mammal,1,-0.172,0,0,1,0,0
Micromys_minutus,mammal,2,-0.158,1,0,1,0,0
Microtus_arvalis,mammal,4,0.174,0,0,1,1,0
Microtus_guentheri,mammal,15,0.032,0,0,0,1,0
Microtus_ochrogaster,mammal,3,-0.002,0,0,1,0,0
Miliaria_calandra,bird,2,0.221,0,0,1,0,0
Motacilla_alba,bird,2,0.129,0,0,1,0,0
Motacilla_cinerea,bird,2,0.047,0,0,1,0,0
Motacilla_flava,bird,1,0.145,0,0,1,0,0
Mus_musculus,mammal,182,0.337,1,1,1,1,1
Mus_spicilegus,mammal,40,0.064,0,0,1,1,0
Nannospalax_ehrenbergi,mammal,15,0.282,0,0,0,1,0
Neochmia_phaeton,bird,2,0.036,0,1,0,0,0
Neogobius_melanostomus,fish,30,-0.087,1,1,1,1,1
Neolamprologus_caudopunctatus,fish,7,0.074,0,0,0,1,0
Neolamprologus_pulcher,fish,6,NA,0,1,1,1,0
Neovison_vison,mammal,13,0.678,0,0,1,0,0
Nothobranchius_furzeri,fish,8,0.212,0,0,1,1,0
Oenanthe_oenanthe,bird,1,0.076,0,0,1,0,0
Orconectes_virilis,invertebrate,1,0.123,0,0,1,0,0
Oreochromis_tanganicae,fish,7,0.068,0,1,0,0,0
Oxyura_australis,bird,1,-0.113,0,0,1,0,0
Palaemon_kadiakensis,invertebrate,2,-0.233,1,0,1,0,0
Pan_troglodytes,mammal,16,0.031,0,1,1,0,1
Panopeus_herbstii,invertebrate,5,0.014,0,0,1,0,0
Pantherophis_obsoletus,reptilia,2,0.12,1,0,0,0,0
Pararge_aegeria,invertebrate,44,-0.334,1,0,1,1,0
Parasteatoda_tepidariorum,invertebrate,1,-0.109,0,1,0,0,0
Parus_caeruleus,bird,9,0.064,0,1,1,1,0
Parus_major,bird,41,0.03,1,1,1,1,0
Parus_palustris,bird,1,0.073,0,0,1,0,0
Passer_domesticus,bird,26,-0.029,1,0,1,1,0
Passer_hispaniolensis,bird,1,NA,0,0,1,0,0
Passer_montanus,bird,1,0.026,0,0,1,0,0
Pelmatochromis_nigrofasciatus,fish,14,0.211,0,1,0,1,0
Percus_politus,invertebrate,4,-0.068,0,0,1,0,0
Perdix_perdix,bird,1,0.023,0,0,1,0,0
Pericrocotus_flammeus,bird,1,0.046,0,0,1,0,0
Pericrocotus_solaris,bird,1,NA,0,0,1,0,0
Peromyscus_californicus,mammal,14,-0.001,0,1,1,1,0
Peromyscus_maniculatus,mammal,6,0.017,0,0,1,1,0
Petroica_phoenicea,bird,2,NA,0,0,1,0,0
Phalacrocorax_atriceps,bird,6,0.143,1,0,0,0,0
Phasianus_colchicus,bird,2,0.382,0,0,1,0,0
Phodopus_sungorus,mammal,4,0.085,1,0,1,0,0
Phoenicopterus_chilensis,bird,2,0.169,0,1,0,0,0
Phoenicopterus_roseus,bird,2,0.399,0,1,0,0,0
Phoenicurus_ochruros,bird,1,NA,0,0,1,0,0
Phoenicurus_phoenicurus,bird,2,0.014,0,0,1,0,0
Phylloscopus_collybita,bird,1,0.095,0,0,1,0,0
Pica_pica,bird,8,0.157,0,0,1,1,0
Picus_viridis,bird,1,NA,0,0,1,0,0
Plecturocebus_moloch,mammal,16,0.067,0,1,0,0,0
Plethodon_cinereus,reptilia,2,0.023,1,0,0,0,0
Poecilia_reticulata,fish,67,-0.238,1,0,1,1,1
Procambarus_clarkii,invertebrate,8,0.043,0,1,0,0,0
Prunella_modularis,bird,8,NA,0,0,1,0,0
Psephotus_haematonotus,bird,1,NA,0,0,1,0,0
Pteromys_volans,mammal,8,-0.071,0,0,0,1,0
Pterostichus_niger,invertebrate,11,-0.143,0,0,1,0,0
Puma_concolor,mammal,1,0.584,1,0,0,0,0
Pycnonotus_jocosus,bird,1,NA,0,0,1,0,0
Pycnonotus_sinensis,bird,1,NA,0,0,1,0,0
Pyrrhula_pyrrhula,bird,1,0.012,0,0,1,0,0
Rattus_norvegicus,mammal,90,0.451,1,0,1,1,1
Regulus_regulus,bird,2,0.018,0,0,1,0,0
Rhabdomys_dilectus,mammal,5,-0.244,1,0,0,1,0
Rhabdomys_pumilio,mammal,5,0.063,1,0,0,1,0
Rhinella_marina,reptilia,40,-0.248,0,0,1,1,0
Saguinus_oedipus,mammal,4,-0.046,0,1,0,0,0
Saxicola_rubetra,bird,1,0.033,0,0,1,0,0
Saxicola_torquatus,bird,1,0.035,0,0,1,0,0
Sciurus_vulgaris,mammal,6,-0.035,0,0,1,0,0
Serinus_serinus,bird,2,0.025,0,0,1,0,0
Sialia_mexicana,bird,1,-0.048,0,1,0,0,0
Sialia_sialis,bird,1,NA,0,1,0,0,0
Sitophilus_granarius,invertebrate,30,-0.035,0,0,0,1,0
Sitta_europaea,bird,1,0.034,0,0,1,0,0
Sphaeromides_virei,invertebrate,5,0.46,1,0,0,0,0
Spheniscus_demersus,bird,4,0.118,0,1,1,0,0
Stagmomantis_limbata,invertebrate,6,-0.762,0,0,1,0,0
Steno_bredanensis,mammal,3,-0.083,0,0,1,0,0
Streptopelia_decaocto,bird,1,0.041,0,0,1,0,0
Sturnus_vulgaris,bird,2,0.038,0,0,1,0,0
Sus_scrofa,mammal,36,0.741,0,0,1,0,0
Sylvia_atricapilla,bird,2,-0.007,0,0,1,0,0
Sylvia_communis,bird,1,NA,0,0,1,0,0
Sylvia_conspicillata,bird,1,NA,0,0,1,0,0
Sylvia_melanocephala,bird,1,-0.058,0,0,1,0,0
Tachymarptis_melba,bird,2,NA,0,0,1,0,0
Tadarida_teniotis,mammal,3,-0.048,0,1,0,0,0
Tadorna_tadorna,bird,1,0.209,0,0,1,0,0
Taeniopygia_guttata,bird,97,-0.056,1,1,1,1,1
Tamias_sibiricus,mammal,2,0.002,0,0,1,0,0
Tamias_striatus,mammal,3,-0.007,1,0,0,1,0
Tegenaria_atrica,invertebrate,1,-0.124,0,0,1,0,0
Tenebrio_molitor,invertebrate,12,0.049,1,0,1,1,1
Terrapene_carolina,reptilia,3,0.003,0,0,1,0,0
Thamnophis_sirtalis,reptilia,2,-0.192,1,0,0,1,0
Theropithecus_gelada,mammal,18,0.871,0,0,0,0,1
Tribolium_castaneum,invertebrate,58,-0.072,1,0,1,0,0
Tribolium_confusum,invertebrate,36,-0.165,1,0,1,0,0
Turdoides_bicolor,bird,8,NA,0,1,0,0,0
Turdus_merula,bird,3,0.028,0,0,1,0,0
Tursiops_aduncus,mammal,8,0.004,1,0,0,1,1
Tursiops_truncatus,mammal,6,0.064,0,1,1,0,0
Upupa_epops,bird,1,0.121,0,0,1,0,0
Vanellus_miles,bird,1,NA,0,0,1,0,0
Vanellus_vanellus,bird,1,-0.066,0,0,1,0,0
Xiphophorus_birchmanni,fish,3,0.094,0,1,0,0,0
Zygiella_x-notata,invertebrate,12,-0.316,1,1,0,0,0
